time_avg,T_S_avg,D_S_avg,E_S_avg,T_P_avg,D_P_avg,E_P_avg,T_20_avg,D_20_avg,E_20_avg,T_50_avg,D_50_avg,E_50_avg,T_100_avg,D_100_avg,E_100_avg,,time_avg,T_S_avgf,D_S_avgf,E_S_avgf,T_P_avgf,D_P_avgf,E_P_avgf,T_20_avgf,D_20_avgf,E_20_avgf,T_50_avgf,D_50_avgf,E_50_avgf,T_100_avgf,D_100_avgf,E_100_avgf
0,18.34790333,7.085834917,11.26206633,17.73437583,6.586649667,11.14772683,18.37215667,7.104489417,11.26766525,18.34790333,7.085834917,11.26206633,18.34790333,7.085834917,11.26206633,,0,183.4790333,70.85834917,112.6206633,177.3437583,65.86649667,111.4772683,183.7215667,71.04489417,112.6766525,183.4790333,70.85834917,112.6206633,183.4790333,70.85834917,112.6206633
1,18.63464417,7.307155917,11.32748642,17.42109167,6.325129167,11.0959625,18.65657833,7.32517,11.33140717,18.63464417,7.307155917,11.32748642,18.63464417,7.307155917,11.32748642,,1,186.3464417,73.07155917,113.2748642,174.2109167,63.25129167,110.959625,186.5657833,73.2517,113.3140717,186.3464417,73.07155917,113.2748642,186.3464417,73.07155917,113.2748642
2,18.88917667,7.521254583,11.36792392,17.13553667,6.094353417,11.04118333,18.9100425,7.53885,11.37119383,18.88917667,7.521254583,11.36792392,18.88917667,7.521254583,11.36792392,,2,188.8917667,75.21254583,113.6792392,171.3553667,60.94353417,110.4118333,189.100425,75.3885,113.7119383,188.8917667,75.21254583,113.6792392,188.8917667,75.21254583,113.6792392
3,19.13771417,7.732401083,11.40531308,16.87220167,5.871997167,11.00020417,19.15815917,7.749869417,11.40829025,19.13771417,7.732401083,11.40531308,19.13771417,7.732401083,11.40531308,,3,191.3771417,77.32401083,114.0531308,168.7220167,58.71997167,110.0020417,191.5815917,77.49869417,114.0829025,191.3771417,77.32401083,114.0531308,191.3771417,77.32401083,114.0531308
4,19.38039583,7.941944833,11.43845083,16.6420025,5.67747,10.96453283,19.400065,7.959084833,11.44097942,19.38039583,7.941944833,11.43845083,19.38039583,7.941944833,11.43845083,,4,193.8039583,79.41944833,114.3845083,166.420025,56.7747,109.6453283,194.00065,79.59084833,114.4097942,193.8039583,79.41944833,114.3845083,193.8039583,79.41944833,114.3845083
5,19.61165917,8.1452295,11.46642925,16.43481333,5.490232417,10.94458133,19.63104083,8.161731667,11.46930908,19.61165917,8.1452295,11.46642925,19.61165917,8.1452295,11.46642925,,5,196.1165917,81.452295,114.6642925,164.3481333,54.90232417,109.4458133,196.3104083,81.61731667,114.6930908,196.1165917,81.452295,114.6642925,196.1165917,81.452295,114.6642925
6,19.84173667,8.33956925,11.50216758,16.25751,5.320052333,10.93745775,19.85993833,8.355161667,11.50477675,19.84173667,8.33956925,11.50216758,19.84173667,8.33956925,11.50216758,,6,198.4173667,83.3956925,115.0216758,162.5751,53.20052333,109.3745775,198.5993833,83.55161667,115.0477675,198.4173667,83.3956925,115.0216758,198.4173667,83.3956925,115.0216758
7,20.0657025,8.53363575,11.532066,16.08710417,5.148837083,10.938267,20.08502417,8.550546833,11.53447633,20.0657025,8.53363575,11.532066,20.0657025,8.53363575,11.532066,,7,200.657025,85.3363575,115.32066,160.8710417,51.48837083,109.38267,200.8502417,85.50546833,115.3447633,200.657025,85.3363575,115.32066,200.657025,85.3363575,115.32066
8,20.29367083,8.736051667,11.55761792,15.93314333,4.985890167,10.94725267,20.31115,8.752682417,11.55846633,20.29367083,8.736051667,11.55761792,20.29367083,8.736051667,11.55761792,,8,202.9367083,87.36051667,115.5761792,159.3314333,49.85890167,109.4725267,203.1115,87.52682417,115.5846633,202.9367083,87.36051667,115.5761792,202.9367083,87.36051667,115.5761792
9,20.49388083,8.934236167,11.55964358,15.7873675,4.821694583,10.96567442,20.50979833,8.950287667,11.55950975,20.49388083,8.934236167,11.55964358,20.49388083,8.934236167,11.55964358,,9,204.9388083,89.34236167,115.5964358,157.873675,48.21694583,109.6567442,205.0979833,89.50287667,115.5950975,204.9388083,89.34236167,115.5964358,204.9388083,89.34236167,115.5964358
10,20.67594333,9.12176825,11.55417433,15.6582025,4.669179583,10.98902217,20.69014583,9.136745333,11.55340017,20.67594333,9.12176825,11.55417433,20.67594333,9.12176825,11.55417433,,10,206.7594333,91.2176825,115.5417433,156.582025,46.69179583,109.8902217,206.9014583,91.36745333,115.5340017,206.7594333,91.2176825,115.5417433,206.7594333,91.2176825,115.5417433
11,20.84172,9.300096167,11.54162433,15.53889417,4.516578667,11.02231458,20.85504667,9.314686,11.54036117,20.84172,9.300096167,11.54162433,20.84172,9.300096167,11.54162433,,11,208.4172,93.00096167,115.4162433,155.3889417,45.16578667,110.2231458,208.5504667,93.14686,115.4036117,208.4172,93.00096167,115.4162433,208.4172,93.00096167,115.4162433
12,21.02004333,9.494647083,11.52539617,15.43642083,4.374455833,11.06196617,21.03690083,9.512933417,11.52396717,21.02004333,9.494647083,11.52539617,21.02004333,9.494647083,11.52539617,,12,210.2004333,94.94647083,115.2539617,154.3642083,43.74455833,110.6196617,210.3690083,95.12933417,115.2396717,210.2004333,94.94647083,115.2539617,210.2004333,94.94647083,115.2539617
13,21.222585,9.718685583,11.50389992,15.3592825,4.237427417,11.1218565,21.23952833,9.73753725,11.50199142,21.222585,9.718685583,11.50389992,21.222585,9.718685583,11.50389992,,13,212.22585,97.18685583,115.0389992,153.592825,42.37427417,111.218565,212.3952833,97.3753725,115.0199142,212.22585,97.18685583,115.0389992,212.22585,97.18685583,115.0389992
14,21.42927667,9.9323305,11.49694592,15.31268417,4.109392083,11.20329175,21.44601667,9.947437667,11.49857875,21.42927667,9.9323305,11.49694592,21.42927667,9.9323305,11.49694592,,14,214.2927667,99.323305,114.9694592,153.1268417,41.09392083,112.0329175,214.4601667,99.47437667,114.9857875,214.2927667,99.323305,114.9694592,214.2927667,99.323305,114.9694592
15,21.59435333,10.06871917,11.52563392,15.27125083,3.973820917,11.297429,21.60440667,10.07623767,11.52816833,21.59435333,10.06871917,11.52563392,21.59435333,10.06871917,11.52563392,,15,215.9435333,100.6871917,115.2563392,152.7125083,39.73820917,112.97429,216.0440667,100.7623767,115.2816833,215.9435333,100.6871917,115.2563392,215.9435333,100.6871917,115.2563392
16,21.70575583,10.15037283,11.55538267,15.23821417,3.837895667,11.40031758,21.714025,10.15630458,11.55772092,21.70575583,10.15037283,11.55538267,21.70575583,10.15037283,11.55538267,,16,217.0575583,101.5037283,115.5538267,152.3821417,38.37895667,114.0031758,217.14025,101.5630458,115.5772092,217.0575583,101.5037283,115.5538267,217.0575583,101.5037283,115.5538267
17,21.79851,10.21686283,11.58164792,15.20745583,3.690487333,11.51696767,21.80507833,10.22174225,11.583336,21.79851,10.21686283,11.58164792,21.79851,10.21686283,11.58164792,,17,217.9851,102.1686283,115.8164792,152.0745583,36.90487333,115.1696767,218.0507833,102.2174225,115.83336,217.9851,102.1686283,115.8164792,217.9851,102.1686283,115.8164792
18,21.89617083,10.29515958,11.60101142,15.18873,3.544483167,11.64424467,21.906445,10.30429375,11.60215183,21.89617083,10.29515958,11.60101142,21.89617083,10.29515958,11.60101142,,18,218.9617083,102.9515958,116.0101142,151.8873,35.44483167,116.4424467,219.06445,103.0429375,116.0215183,218.9617083,102.9515958,116.0101142,218.9617083,102.9515958,116.0101142
19,22.0136725,10.40412708,11.60954458,15.17858667,3.391303333,11.78728383,20.2031625,9.552456,10.65070558,22.0136725,10.40412708,11.60954458,22.0136725,10.40412708,11.60954458,,19,220.136725,104.0412708,116.0954458,151.7858667,33.91303333,117.8728383,202.031625,95.52456,106.5070558,220.136725,104.0412708,116.0954458,220.136725,104.0412708,116.0954458
