time_avg,D_P_avgf,E_P_avgf,T_20_avgf,T_50_avgf,T_100_avgf,,,D_P_harv,E_P_harv,20_harv,50_harv,100_harv,,,D_P_harv_adj,E_P_harv_adj,P_tot_harv,25_harv_adj,50_harv_adj,100_harv_adj,,,pf_sum,pf_sumf,20f_sum,50f_sum,100f_sum,,sf_sumf,pf_sumf,_20f_sum,_50f_sum,_100f_sum,,sExcf,sPref,s_20f,s_50f,s_100f,,fs,fp,f20,f50,f100
0,65.86649667,111.4772683,183.7215667,183.4790333,183.4790333,,,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,4.43134,4.4593,4.43134,4.43134,4.43134,,4.43134,4.4593,4.43134,4.43134,4.43134
1,63.25129167,110.959625,186.5657833,186.3464417,186.3464417,,,-2.615205,-0.517643333,2.844216667,2.867408333,2.867408333,,,8.855180833,2.2191925,11.07437333,0,0,0,,,11.07437333,-11.07437333,0,0,0,,0,-3.322312,0,0,0,,8.9108,8.7142,8.9108,8.9108,8.9108,,8.9108,5.391888,8.9108,8.9108,8.9108
2,60.94353417,110.4118333,189.100425,188.8917667,188.8917667,,,-2.3077575,-0.547791667,2.534641667,2.545325,2.545325,,,0,0,0,0,0,0,,,11.07437333,-11.07437333,0,0,0,,0,-3.322312,0,0,0,,13.42579,4.02741,13.42579,13.42579,13.42579,,13.42579,0.705098,13.42579,13.42579,13.42579
3,58.71997167,110.0020417,191.5815917,191.3771417,191.3771417,,,-2.2235625,-0.409791667,2.481166667,2.485375,2.485375,,,8.220796033,2.200040833,10.42083687,0,0,0,,,21.4952102,-21.4952102,0,0,0,,0,-6.44856306,0,0,0,,17.81679,8.33884,17.81679,17.81679,17.81679,,17.81679,1.89027694,17.81679,17.81679,17.81679
4,56.7747,109.6453283,194.00065,193.8039583,193.8039583,,,-1.945271667,-0.356713333,2.419058333,2.426816667,2.426816667,,,0,0,0,0,0,0,,,21.4952102,-21.4952102,0,0,0,,0,-6.44856306,0,0,0,,22.21966,4.19347,22.21966,22.21966,22.21966,,22.21966,-2.25509306,22.21966,22.21966,22.21966
5,54.90232417,109.4458133,196.3104083,196.1165917,196.1165917,,,-1.872375833,-0.199515,2.309758333,2.312633333,2.312633333,,,7.686325383,2.188916267,9.87524165,0,0,0,,,31.37045185,-31.37045185,0,0,0,,0,-9.411135555,0,0,0,,26.56235,8.8208,26.56235,26.56235,26.56235,,26.56235,-0.590335555,26.56235,26.56235,26.56235
6,53.20052333,109.3745775,198.5993833,198.4173667,198.4173667,,,-1.701800833,-0.071235833,2.288975,2.300775,2.300775,,,0,0,0,0,0,0,,,31.37045185,-31.37045185,0,0,0,,0,-9.411135555,0,0,0,,30.80452,5.33895,30.80452,30.80452,30.80452,,30.80452,-4.072185555,30.80452,30.80452,30.80452
7,51.48837083,109.38267,200.8502417,200.657025,200.657025,,,-1.7121525,0.0080925,2.250858333,2.239658333,2.239658333,,,7.208371917,2.1876534,9.396025317,0,0,0,,,40.76647717,-40.76647717,0,0,0,,0,-12.22994315,0,0,0,,34.96616,9.83896,34.96616,34.96616,34.96616,,34.96616,-2.39098315,34.96616,34.96616,34.96616
8,49.85890167,109.4725267,203.1115,202.9367083,202.9367083,,,-1.629469167,0.089856667,2.261258333,2.279683333,2.279683333,,,0,0,0,0,0,0,,,40.76647717,-40.76647717,0,0,0,,0,-12.22994315,0,0,0,,39.38819,6.73497,39.38819,39.38819,39.38819,,39.38819,-5.49497315,39.38819,39.38819,39.38819
9,48.21694583,109.6567442,205.0979833,204.9388083,204.9388083,,,-1.641955833,0.1842175,1.986483333,2.0021,2.0021,,,6.750372417,2.193134883,8.9435073,0,0,0,,,49.70998447,-49.70998447,0,0,0,,0,-14.91299534,0,0,0,,43.6693,11.25931,43.6693,43.6693,43.6693,,43.6693,-3.65368534,43.6693,43.6693,43.6693
10,46.69179583,109.8902217,206.9014583,206.7594333,206.7594333,,,-1.52515,0.2334775,1.803475,1.820625,1.820625,,,0,0,0,0,0,0,,,49.70998447,-49.70998447,0,0,0,,0,-14.91299534,0,0,0,,47.67836,8.61189,47.67836,47.67836,47.67836,,47.67836,-6.30110534,47.67836,47.67836,47.67836
11,45.16578667,110.2231458,208.5504667,208.4172,208.4172,,,-1.526009167,0.332924167,1.649008333,1.657766667,1.657766667,,,6.323210133,2.204462917,8.52767305,0,0,0,,,58.23765752,-58.23765752,0,0,0,,0,-17.47129726,0,0,0,,51.41012,13.22786,51.41012,51.41012,51.41012,,51.41012,-4.243437255,51.41012,51.41012,51.41012
12,43.74455833,110.6196617,210.3690083,210.2004333,210.2004333,,,-1.421228333,0.396515833,1.818541667,1.783233333,1.783233333,,,0,0,0,0,0,0,,,58.23765752,-58.23765752,0,0,0,,0,-17.47129726,0,0,0,,54.93227,11.06771,54.93227,54.93227,54.93227,,54.93227,-6.403587255,54.93227,54.93227,54.93227
13,42.37427417,111.218565,212.3952833,212.22585,212.22585,,,-1.370284167,0.598903333,2.026275,2.025416667,2.025416667,,,5.932398383,2.2243713,8.156769683,0,0,0,,,66.3944272,-66.3944272,0,0,0,,0,-19.91832816,0,0,0,,58.8227,16.31755,58.8227,58.8227,58.8227,,58.8227,-3.60077816,58.8227,58.8227,58.8227
14,41.09392083,112.0329175,214.4601667,214.2927667,214.2927667,,,-1.280353333,0.8143525,2.064883333,2.066916667,2.066916667,,,0,0,0,0,0,0,,,66.3944272,-66.3944272,0,0,0,,0,-19.91832816,0,0,0,,62.56215,14.98679,62.56215,62.56215,62.56215,,62.56215,-4.93153816,62.56215,62.56215,62.56215
15,39.73820917,112.97429,216.0440667,215.9435333,215.9435333,,,-1.355711667,0.9413725,1.5839,1.650766667,1.650766667,,,5.563349283,2.2594858,7.822835083,0,0,0,,,74.21726228,-74.21726228,0,0,0,,0,-22.26517869,0,0,0,,66.21029,20.21058,66.21029,66.21029,66.21029,,66.21029,-2.054598685,66.21029,66.21029,66.21029
16,38.37895667,114.0031758,217.14025,217.0575583,217.0575583,,,-1.3592525,1.028885833,1.096183333,1.114025,1.114025,,,0,0,0,0,0,0,,,74.21726228,-74.21726228,0,0,0,,0,-22.26517869,0,0,0,,69.63669,19.20943,69.63669,69.63669,69.63669,,69.63669,-3.055748685,69.63669,69.63669,69.63669
17,36.90487333,115.1696767,218.0507833,217.9851,217.9851,,,-1.474083333,1.166500833,0.910533333,0.927541667,0.927541667,,,5.166682267,2.303393533,7.4700758,0,0,0,,,81.68733808,-81.68733808,0,0,0,,0,-24.50620143,0,0,0,,72.86966,24.45508,72.86966,72.86966,72.86966,,72.86966,-0.051121425,72.86966,72.86966,72.86966
18,35.44483167,116.4424467,219.06445,218.9617083,218.9617083,,,-1.460041667,1.27277,1.013666667,0.976608333,0.976608333,,,0,0,0,0,0,0,,,81.68733808,-81.68733808,0,0,0,,0,-24.50620143,0,0,0,,75.9102,23.80093,75.9102,75.9102,75.9102,,75.9102,-0.705271425,75.9102,75.9102,75.9102
19,33.91303333,117.8728383,202.031625,220.136725,220.136725,,,-1.531798333,1.430391667,-17.032825,1.175016667,1.175016667,,,4.747824667,2.357456767,7.105281433,0,0,0,,,88.79261952,-88.79261952,0,0,0,,0,-26.63778586,0,0,0,,79.19822,29.08893,79.19822,79.19822,79.19822,,79.19822,2.451144145,79.19822,79.19822,79.19822
