time,Exc,Pre,_20,_50,_100,,Excf,Pref,_20f,_50f,_100f,,sExcf,sPref,s_20f,s_50f,s_100f
0,0.443134,0.44593,0.443134,0.443134,0.443134,,4.43134,4.4593,4.43134,4.43134,4.43134,,4.43134,4.4593,4.43134,4.43134,4.43134
1,0.447946,0.42549,0.447946,0.447946,0.447946,,4.47946,4.2549,4.47946,4.47946,4.47946,,8.9108,8.7142,8.9108,8.9108,8.9108
2,0.451499,-0.468679,0.451499,0.451499,0.451499,,4.51499,-4.68679,4.51499,4.51499,4.51499,,13.42579,4.02741,13.42579,13.42579,13.42579
3,0.4391,0.431143,0.4391,0.4391,0.4391,,4.391,4.31143,4.391,4.391,4.391,,17.81679,8.33884,17.81679,17.81679,17.81679
4,0.440287,-0.414537,0.440287,0.440287,0.440287,,4.40287,-4.14537,4.40287,4.40287,4.40287,,22.21966,4.19347,22.21966,22.21966,22.21966
5,0.434269,0.462733,0.434269,0.434269,0.434269,,4.34269,4.62733,4.34269,4.34269,4.34269,,26.56235,8.8208,26.56235,26.56235,26.56235
6,0.424217,-0.348185,0.424217,0.424217,0.424217,,4.24217,-3.48185,4.24217,4.24217,4.24217,,30.80452,5.33895,30.80452,30.80452,30.80452
7,0.416164,0.450001,0.416164,0.416164,0.416164,,4.16164,4.50001,4.16164,4.16164,4.16164,,34.96616,9.83896,34.96616,34.96616,34.96616
8,0.442203,-0.310399,0.442203,0.442203,0.442203,,4.42203,-3.10399,4.42203,4.42203,4.42203,,39.38819,6.73497,39.38819,39.38819,39.38819
9,0.428111,0.452434,0.428111,0.428111,0.428111,,4.28111,4.52434,4.28111,4.28111,4.28111,,43.6693,11.25931,43.6693,43.6693,43.6693
10,0.400906,-0.264742,0.400906,0.400906,0.400906,,4.00906,-2.64742,4.00906,4.00906,4.00906,,47.67836,8.61189,47.67836,47.67836,47.67836
11,0.373176,0.461597,0.373176,0.373176,0.373176,,3.73176,4.61597,3.73176,3.73176,3.73176,,51.41012,13.22786,51.41012,51.41012,51.41012
12,0.352215,-0.216015,0.352215,0.352215,0.352215,,3.52215,-2.16015,3.52215,3.52215,3.52215,,54.93227,11.06771,54.93227,54.93227,54.93227
13,0.389043,0.524984,0.389043,0.389043,0.389043,,3.89043,5.24984,3.89043,3.89043,3.89043,,58.8227,16.31755,58.8227,58.8227,58.8227
14,0.373945,-0.133076,0.373945,0.373945,0.373945,,3.73945,-1.33076,3.73945,3.73945,3.73945,,62.56215,14.98679,62.56215,62.56215,62.56215
15,0.364814,0.522379,0.364814,0.364814,0.364814,,3.64814,5.22379,3.64814,3.64814,3.64814,,66.21029,20.21058,66.21029,66.21029,66.21029
16,0.34264,-0.100115,0.34264,0.34264,0.34264,,3.4264,-1.00115,3.4264,3.4264,3.4264,,69.63669,19.20943,69.63669,69.63669,69.63669
17,0.323297,0.524565,0.323297,0.323297,0.323297,,3.23297,5.24565,3.23297,3.23297,3.23297,,72.86966,24.45508,72.86966,72.86966,72.86966
18,0.304054,-0.065415,0.304054,0.304054,0.304054,,3.04054,-0.65415,3.04054,3.04054,3.04054,,75.9102,23.80093,75.9102,75.9102,75.9102
19,0.328802,0.5288,0.328802,0.328802,0.328802,,3.28802,5.288,3.28802,3.28802,3.28802,,79.19822,29.08893,79.19822,79.19822,79.19822
20,0.30329,-0.028511,0.30329,0.30329,0.30329,,3.0329,-0.28511,3.0329,3.0329,3.0329,,82.23112,28.80382,82.23112,82.23112,82.23112
21,0.285636,0.532913,-3.314487,0.285636,0.285636,,2.85636,5.32913,-33.14487,2.85636,2.85636,,85.08748,34.13295,49.08625,85.08748,85.08748
22,0.268188,0.002238,-1.64644,0.268188,0.268188,,2.68188,0.02238,-16.4644,2.68188,2.68188,,87.76936,34.15533,32.62185,87.76936,87.76936
23,0.257395,0.540178,-0.627264,0.257395,0.257395,,2.57395,5.40178,-6.27264,2.57395,2.57395,,90.34331,39.55711,26.34921,90.34331,90.34331
24,0.251645,0.035309,-0.113336,0.251645,0.251645,,2.51645,0.35309,-1.13336,2.51645,2.51645,,92.85976,39.9102,25.21585,92.85976,92.85976
25,0.2743,0.536957,0.105445,0.2743,0.2743,,2.743,5.36957,1.05445,2.743,2.743,,95.60276,45.27977,26.2703,95.60276,95.60276
26,0.266448,0.056545,0.236861,0.266448,0.266448,,2.66448,0.56545,2.36861,2.66448,2.66448,,98.26724,45.84522,28.63891,98.26724,98.26724
27,0.243977,0.535693,0.23188,0.243977,0.243977,,2.43977,5.35693,2.3188,2.43977,2.43977,,100.70701,51.20215,30.95771,100.70701,100.70701
28,0.23683,0.071234,0.343352,0.23683,0.23683,,2.3683,0.71234,3.43352,2.3683,2.3683,,103.07531,51.91449,34.39123,103.07531,103.07531
29,0.22366,0.541013,0.342451,0.22366,0.22366,,2.2366,5.41013,3.42451,2.2366,2.2366,,105.31191,57.32462,37.81574,105.31191,105.31191
30,0.254264,0.083391,0.414797,0.254264,0.254264,,2.54264,0.83391,4.14797,2.54264,2.54264,,107.85455,58.15853,41.96371,107.85455,107.85455
31,0.250807,0.541218,0.407455,0.250807,0.250807,,2.50807,5.41218,4.07455,2.50807,2.50807,,110.36262,63.57071,46.03826,110.36262,110.36262
32,0.234414,0.097571,0.365974,0.234414,0.234414,,2.34414,0.97571,3.65974,2.34414,2.34414,,112.70676,64.54642,49.698,112.70676,112.70676
33,0.217532,0.551559,0.302078,0.217532,0.217532,,2.17532,5.51559,3.02078,2.17532,2.17532,,114.88208,70.06201,52.71878,114.88208,114.88208
34,0.204346,0.101751,0.408361,0.204346,0.204346,,2.04346,1.01751,4.08361,2.04346,2.04346,,116.92554,71.07952,56.80239,116.92554,116.92554
35,0.202577,0.549006,0.394278,0.202577,0.202577,,2.02577,5.49006,3.94278,2.02577,2.02577,,118.95131,76.56958,60.74517,118.95131,118.95131
36,0.222555,0.114407,0.38018,0.222555,0.222555,,2.22555,1.14407,3.8018,2.22555,2.22555,,121.17686,77.71365,64.54697,121.17686,121.17686
37,0.245537,0.567926,0.398288,0.245537,0.245537,,2.45537,5.67926,3.98288,2.45537,2.45537,,123.63223,83.39291,68.52985,123.63223,123.63223
38,0.249028,0.111499,0.384904,0.249028,0.249028,,2.49028,1.11499,3.84904,2.49028,2.49028,,126.12251,84.5079,72.37889,126.12251,126.12251
39,0.247567,0.558317,0.362136,0.247567,0.247567,,2.47567,5.58317,3.62136,2.47567,2.47567,,128.59818,90.09107,76.00025,128.59818,128.59818
40,0.244413,0.125389,0.350514,0.244413,0.244413,,2.44413,1.25389,3.50514,2.44413,2.44413,,131.04231,91.34496,79.50539,131.04231,131.04231
41,0.229312,0.574558,-1.009135,0.229312,0.229312,,2.29312,5.74558,-10.09135,2.29312,2.29312,,133.33543,97.09054,69.41404,133.33543,133.33543
42,0.230224,0.114017,-0.444659,0.230224,0.230224,,2.30224,1.14017,-4.44659,2.30224,2.30224,,135.63767,98.23071,64.96745,135.63767,135.63767
43,0.215608,0.559722,-0.105156,0.215608,0.215608,,2.15608,5.59722,-1.05156,2.15608,2.15608,,137.79375,103.82793,63.91589,137.79375,137.79375
44,0.199227,0.124663,0.232317,0.199227,0.199227,,1.99227,1.24663,2.32317,1.99227,1.99227,,139.78602,105.07456,66.23906,139.78602,139.78602
45,0.188384,0.577528,0.415279,0.188384,0.188384,,1.88384,5.77528,4.15279,1.88384,1.88384,,141.66986,110.84984,70.39185,141.66986,141.66986
46,0.237688,0.113074,0.451052,0.237688,0.237688,,2.37688,1.13074,4.51052,2.37688,2.37688,,144.04674,111.98058,74.90237,144.04674,144.04674
